product	purchases
20008819	13
20008932	20
20009168	13
20009199	16
20009229	6
20044824	1
20055301	4
20055332	1
20055400	6
20057190	10
20057527	7
20062118	21
20062149	7
20062286	5
20062309	12
20062361	7
20062484	24
20062514	15
20067724	16
20067755	9
20067762	12
20067779	8
20068899	1
20069162	25
20072094	13
20072100	12
20072131	15
20072223	16
20072278	8
20072285	8
20072322	14
20072353	16
20072414	16
20072476	4
20072483	24
20072605	20
20075811	5
20076252	8
20076658	5
20076689	8
20076801	12
20076825	9
20076849	11
20076863	6
20076887	12
20085957	1
20086169	44
20086206	14
20086350	6
20086480	16
20086770	2
20086862	29
20087357	8
20087371	25
20087388	5
20087401	6
20087739	29
20087760	17
20087920	1
20087968	1
20089245	2
20089269	1
20089917	3
20090067	4
20090562	8
20090685	2
20090852	2
20090890	3
20090999	11
20091026	5
20091057	6
20091071	8
20091477	22
20091712	3
20091736	2
20092696	2
20092740	3
20092788	3
20094805	3
20095819	7
20100360	2
20100711	2
20100780	1
20100797	2
20100933	7
20100988	2
20102081	21
20103088	6
20116415	3
20116422	4
20123833	5
20123840	4
20123857	3
20123918	45
20123932	25
20123963	8
20137045	7
20148706	10
20148973	15
20148997	3
20149024	3
20149055	2
20149772	14
20149802	15
20149833	8
20149864	5
20153137	9
20153267	1
20153281	5
20153342	1
20153366	2
20153700	3
20153984	1
20154912	8
20159658	4
20159665	5
20159672	4
20159696	3
20159702	5
20159719	2
20159764	4
20159788	2
20159795	5
20159849	2
20159856	6
20159900	3
20160128	10
20160159	5
20160180	4
20160203	13
20160210	15
20160272	5
20160296	7
20160319	1
20161453	1
20161477	1
20165918	1
20165956	1
20166069	1
20171612	6
20171629	9
20175313	3
20179144	1
20179212	11
20179335	12
20179359	1
20179489	8
20180348	8
20180553	15
20180560	5
20180584	4
20180713	2
20180850	8
20181055	7
20181093	3
20181703	6
20181734	14
20189877	1
20192310	1
20197872	9
20197889	25
20200657	3
20203689	90
20205133	7
20206130	40
20215460	2
20215477	10
20216559	5
20217013	64
20217037	6
20217266	11
20217280	33
20217297	17
20222406	7
20222604	4
20227708	1
20227715	4
20228255	3
20228347	1
20228378	5
20228385	6
20228392	3
20228422	2
20228439	2
20228552	2
20228651	5
20228828	1
20228866	1
20228903	5
20228941	10
20228972	1
20229146	3
20229184	1
20229238	1
20229245	1
20229276	1
20229283	1
20229306	1
20229535	2
20229542	3
20229597	1
20229689	1
20229696	1
20229719	1
20229726	3
20229733	12
20229764	1
20229771	1
20238919	16
20246013	485
20246037	40
20246068	440
20246129	130
20246884	1
20246891	2
20246914	4
20247546	11
20247676	2
20247836	11
20248147	8
20248277	5
20248284	10
20252496	1
20255053	2
20255077	1
20271114	2
20277406	4
20277659	9
20277673	6
20279417	14
20279431	7
20279479	5
20285029	3
20299507	41
20301064	18
20301071	30
20301101	34
20301125	7
20301132	16
20301149	25
20301163	2
20301316	10
20301453	6
20302863	41
20302894	8
20307585	712
20307875	5
20308087	11
20309572	2
20310127	8
20315337	5
20318048	18
20318253	8
20320164	14
20321857	2
20322625	27
20323196	16
20325305	6
20325725	2
20325732	5
20325770	4
20332419	158
20332433	951
20333225	66
20336929	17
20336936	27
20338510	11
20338770	1
20339166	2
20341091	5
20341992	124
20342647	2
20342814	1
20343095	15
20343101	9
20343590	1
20343644	8
20343941	1
20345716	1
20345822	1
20347864	9
20347970	3
20347987	9
20347994	2
20348403	8
20349134	3
20351120	1
20351144	3
20351151	1
20351359	3
20351366	4
20351380	10
20351397	4
20351410	1
20351458	1
20351465	13
20351489	9
20351731	1
20352196	6
20352318	11
20352400	4
20352523	1
20352615	29
20352721	1
20352837	16
20354091	39
20356781	4
20356798	4
20356880	5
20356897	11
20356903	11
20356910	15
20357405	4
20358808	1
20358839	2
20358938	46
20359072	1
20359485	1
20359591	9
20359973	19
20359980	72
20360016	19
20360023	6
20360030	15
20360047	18
20360054	9
20360153	1
20360160	7
20360207	17
20360214	5
20360238	12
20361181	3
20361198	1
20363161	1
20363765	9
20364557	10
20364571	3
20364588	18
20364595	3
20364601	9
20366407	27
20367114	15
20367763	13
20367770	4
20368036	44
20369309	25
20369460	6
20369484	1
20369781	4
20369798	1
20369811	1
20369866	6
20369903	2
20369927	11
20369958	5
20369965	1
20370039	1
20370046	2
20370176	2
20370206	3
20370213	3
20370237	1
20370244	4
20370688	175
20371210	3
20373092	2
20373580	2
20373597	2
20373641	4
20373658	4
20373696	4
20373726	14
20373733	5
20373757	6
20373764	9
20373771	7
20373801	8
20373818	5
20373825	15
20373832	8
20373849	8
20373863	4
20373887	1
20373900	5
20373917	3
20373931	6
20373948	6
20374730	2
20374747	5
20376178	1
20376956	19
20379070	1
20382001	3
20382506	2
20383411	15
20383541	12
20383558	3
20383565	12
20383961	2
20383978	23
20383985	1
20386214	26
20386221	1
20386320	5
20386344	2
20386399	10
20386405	3
20388317	2
20388324	1
20389451	1
20390747	4
20391027	24
20391119	4
20391669	4
20392048	74
20392086	9
20392093	15
20392147	6
20392437	26
20392444	43
20392451	44
20392468	28
20392628	5
20392635	4
20392659	21
20392901	4
20392925	1
20392987	12
20392994	3
20393014	7
20393038	71
20393113	13
20393342	8
20393427	2
20393854	2
20394721	16
20394738	5
20394745	18
20394752	5
20395360	4
20395377	6
20395384	4
20395391	1
20395407	6
20395414	2
20396916	7
20396930	1
20396947	6
20397685	1
20397715	24
20398446	4
20398576	53
20398583	7
20398590	29
20400361	7
20400989	3
20401214	4
20401320	2
20401351	75
20401795	35
20401801	24
20403515	9
20403522	16
20403539	11
20403546	3
20403638	2
20403645	4
20403652	1
20403669	1
20404864	3
20405496	2
20405502	1
20405663	3
20405717	1
20406226	1
20406295	20
20406349	256
20406394	2
20406998	5
20408053	2
20408077	20
20408091	3
20408923	1
20409159	2
20409166	9
20409180	3
20410933	1
20410957	1
20411305	15
20411428	3
20411435	3
20411503	20
20411527	49
20411534	13
20411589	22
20411596	3
20411602	1
20411640	1
20411824	6
20411893	9
20411909	7
20411916	5
20412036	100
20412074	859
20414566	4
20414573	1
20414757	2
20414764	9
20414818	9
20414849	6
20415440	13
20415457	10
20415648	12
20415723	714
20416256	1
20416331	8
20416515	16
20417093	1
20417109	6
20418038	20
20418977	4
20419103	6
20419110	3
20419295	3
20419400	2
20419431	4
20419455	50
20419882	2
20419905	47
20419912	26
20419943	1
20419974	12
20419981	11
20420338	1
20420550	24
20421113	1
20421151	12
20421168	3
20421175	1
20421410	33
20421953	7
20421960	2
20422325	19
20423476	1
20423643	1
20423650	2
20423735	7
20423827	10
20423957	26
20424008	16
20424046	4
20424053	31
20424183	71
20424282	5
20424695	1
20424718	6
20425043	4
20425050	4
20425067	1
20425074	3
20425081	3
20425098	1
20425999	1
20426040	13
20426071	2
20426156	1
20427849	2
20428044	16
20428051	7
20428150	4
20428174	1
20428921	6
20429010	8
20429041	1
20429102	3
20431655	5
20431679	26
20431686	31
20431693	96
