product	purchases	week
20008819	1	1
20008819	1	2
20008819	3	3
20008819	3	5
20008819	1	7
20008819	1	46
20008819	1	47
20008819	1	50
20008819	1	53
20008932	3	2
20008932	1	5
20008932	1	6
20008932	1	7
20008932	1	8
20008932	3	45
20008932	1	47
20008932	4	48
20008932	1	49
20008932	4	50
20009168	1	0
20009168	1	2
20009168	2	5
20009168	1	7
20009168	1	8
20009168	1	44
20009168	2	47
20009168	1	48
20009168	1	50
20009168	1	52
20009168	1	53
20009199	1	0
20009199	1	1
20009199	1	2
20009199	2	6
20009199	1	7
20009199	1	45
20009199	2	46
20009199	1	47
20009199	1	48
20009199	3	49
20009199	1	50
20009199	1	52
20009229	1	2
20009229	1	6
20009229	1	8
20009229	1	45
20009229	1	47
20009229	1	50
20044824	1	7
20055301	1	0
20055301	1	3
20055301	1	5
20055301	1	45
20055332	1	4
20055400	1	2
20055400	3	3
20055400	1	46
20055400	1	49
20057190	1	1
20057190	1	6
20057190	1	44
20057190	1	45
20057190	1	46
20057190	1	48
20057190	2	49
20057190	1	51
20057190	1	52
20057527	3	2
20057527	2	6
20057527	1	47
20057527	1	49
20062118	2	1
20062118	2	3
20062118	1	4
20062118	2	5
20062118	3	7
20062118	3	45
20062118	1	46
20062118	2	48
20062118	1	50
20062118	1	51
20062118	2	52
20062118	1	53
20062149	1	1
20062149	1	4
20062149	1	7
20062149	1	45
20062149	1	47
20062149	1	50
20062149	1	53
20062286	1	2
20062286	1	45
20062286	2	48
20062286	1	51
20062309	1	2
20062309	2	3
20062309	1	4
20062309	2	6
20062309	1	7
20062309	1	45
20062309	1	47
20062309	2	48
20062309	1	51
20062361	2	2
20062361	1	5
20062361	1	44
20062361	1	49
20062361	2	51
20062484	1	0
20062484	1	1
20062484	1	2
20062484	1	5
20062484	1	6
20062484	2	7
20062484	1	8
20062484	2	45
20062484	2	46
20062484	1	47
20062484	3	48
20062484	3	49
20062484	3	50
20062484	1	51
20062484	1	52
20062514	1	0
20062514	2	2
20062514	2	5
20062514	2	7
20062514	2	8
20062514	1	44
20062514	2	48
20062514	1	49
20062514	2	51
20067724	1	0
20067724	2	2
20067724	2	4
20067724	2	6
20067724	2	8
20067724	1	44
20067724	1	45
20067724	3	46
20067724	1	51
20067724	1	53
20067755	1	3
20067755	2	4
20067755	1	45
20067755	2	46
20067755	1	48
20067755	1	50
20067755	1	53
20067762	1	1
20067762	1	2
20067762	1	3
20067762	2	4
20067762	1	6
20067762	2	7
20067762	1	45
20067762	1	47
20067762	1	48
20067762	1	49
20067779	2	4
20067779	1	6
20067779	1	44
20067779	1	45
20067779	1	47
20067779	1	49
20067779	1	50
20068899	1	44
20069162	2	1
20069162	2	2
20069162	2	3
20069162	2	5
20069162	1	6
20069162	1	8
20069162	1	44
20069162	3	45
20069162	3	46
20069162	6	48
20069162	1	50
20069162	1	51
20072094	1	1
20072094	3	2
20072094	1	3
20072094	1	4
20072094	1	5
20072094	1	6
20072094	1	7
20072094	1	8
20072094	1	46
20072094	1	49
20072094	1	50
20072100	1	2
20072100	1	4
20072100	1	5
20072100	1	8
20072100	1	44
20072100	2	45
20072100	2	46
20072100	1	49
20072100	2	50
20072131	1	3
20072131	2	7
20072131	2	44
20072131	3	45
20072131	1	46
20072131	2	48
20072131	1	49
20072131	1	50
20072131	1	52
20072131	1	53
20072223	1	3
20072223	1	5
20072223	1	6
20072223	1	7
20072223	2	8
20072223	1	44
20072223	3	46
20072223	1	47
20072223	2	48
20072223	2	49
20072223	1	52
20072278	1	4
20072278	1	5
20072278	1	7
20072278	1	8
20072278	1	45
20072278	1	46
20072278	1	47
20072278	1	49
20072285	1	2
20072285	1	7
20072285	1	8
20072285	1	46
20072285	2	47
20072285	1	48
20072285	1	49
20072322	1	1
20072322	2	3
20072322	2	4
20072322	1	6
20072322	1	45
20072322	1	46
20072322	1	47
20072322	1	49
20072322	2	50
20072322	1	52
20072322	1	53
20072353	2	3
20072353	2	4
20072353	1	5
20072353	1	6
20072353	2	8
20072353	1	44
20072353	1	46
20072353	3	49
20072353	2	50
20072353	1	51
20072414	1	0
20072414	2	2
20072414	1	4
20072414	1	5
20072414	1	6
20072414	1	7
20072414	2	8
20072414	1	47
20072414	4	49
20072414	1	50
20072414	1	52
20072476	1	0
20072476	2	6
20072476	1	52
20072483	1	0
20072483	4	1
20072483	3	2
20072483	1	3
20072483	2	4
20072483	1	5
20072483	2	6
20072483	1	8
20072483	2	45
20072483	2	48
20072483	1	49
20072483	1	50
20072483	2	52
20072483	1	53
20072605	1	1
20072605	2	2
20072605	3	3
20072605	1	4
20072605	2	5
20072605	2	6
20072605	1	8
20072605	1	45
20072605	3	47
20072605	3	48
20072605	1	51
20075811	1	7
20075811	1	8
20075811	1	45
20075811	1	46
20075811	1	47
20076252	1	2
20076252	1	5
20076252	1	6
20076252	2	7
20076252	2	45
